21:46:43.060 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [AbstractApplicationContext.java:513] - [******] - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2fbcacba: startup date [Wed Aug 27 21:46:43 CEST 2014]; root of context hierarchy
21:46:43.717 [main] INFO  o.s.b.f.x.XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:316] - [******] - Loading XML bean definitions from URL [jar:file:/home/omoser/Dropbox/viotualize-bak/viotualize/api/viotualize-environment-service/target/environment-service-0.0.1-SNAPSHOT.jar!/cxf-config.xml]
21:46:43.780 [main] INFO  o.s.b.f.x.XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:316] - [******] - Loading XML bean definitions from class path resource [META-INF/cxf/cxf.xml]
21:46:43.795 [main] INFO  o.s.b.f.x.XmlBeanDefinitionReader [XmlBeanDefinitionReader.java:316] - [******] - Loading XML bean definitions from class path resource [META-INF/cxf/cxf-servlet.xml]
21:46:43.905 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory [DefaultListableBeanFactory.java:749] - [******] - Overriding bean definition for bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages': replacing [Generic bean: class [org.springframework.boot.autoconfigure.AutoConfigurationPackages$BasePackages]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.boot.autoconfigure.AutoConfigurationPackages$BasePackages]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
21:46:43.909 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory [DefaultListableBeanFactory.java:749] - [******] - Overriding bean definition for bean 'environmentRepository': replacing [Root bean: class [org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.mongodb.repository.support.MongoRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
21:46:43.909 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory [DefaultListableBeanFactory.java:749] - [******] - Overriding bean definition for bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages': replacing [Generic bean: class [org.springframework.boot.autoconfigure.AutoConfigurationPackages$BasePackages]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.boot.autoconfigure.AutoConfigurationPackages$BasePackages]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
21:46:43.971 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory [DefaultListableBeanFactory.java:749] - [******] - Overriding bean definition for bean 'beanNameViewResolver': replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
21:46:44.277 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor [AutowiredAnnotationBeanPostProcessor.java:141] - [******] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
21:46:44.406 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:309] - [******] - Bean 'com.ryantenney.metrics.spring.config.annotation.DelegatingMetricsConfiguration' of type [class com.ryantenney.metrics.spring.config.annotation.DelegatingMetricsConfiguration$$EnhancerBySpringCGLIB$$cca5cfa4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
21:46:44.423 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java:309] - [******] - Bean 'getMetricRegistry' of type [class com.codahale.metrics.MetricRegistry] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
