FID,OBJECTID,SHAPE,NAME,ADRESSE,SE_ANNO_CAD_DATA
AMTOGD.859053,859053,POINT (16.378960203796083 48.23775544947837),Magistratsabteilung 22 - Umweltschutz,"20., Dresdner Stra?e 45",
AMTOGD.859055,859055,POINT (16.370003610493153 48.252030703626296),Magistratsabteilung 41 - Stadtvermessung,"19., Muthgasse 62",
AMTOGD.859056,859056,POINT (16.388450703284995 48.2012828782388),Bezirksvorstehung des 3. Bezirks,"3., Karl-Borrom?us-Platz 3",
AMTOGD.859057,859057,POINT (16.354126822905126 48.19107871076445),Magistratisches Bezirksamt f?r den 4. u. 5. Bezirk,"5., Rechte Wienzeile 105",
AMTOGD.859058,859058,POINT (16.300394265902348 48.188243782978105),Magistratisches Bezirksamt f?r den 13. u. 14. Bezirk,"13., Hietzinger Kai 1",
AMTOGD.859060,859060,POINT (16.327367902501223 48.20933158997204),Magistratisches Bezirksamt f?r den 16. Bezirk,"16., Richard-Wagner-Platz 19",
AMTOGD.859061,859061,POINT (16.35433059740756 48.20679623238844),Magistratsabteilung 69 - Liegenschaftsmanagement,"8., Lerchenfelder Stra?e 4",
AMTOGD.859062,859062,POINT (16.37078221519143 48.23295127227614),Bezirksvorstehung des 20. Bezirks,"20., Brigittaplatz 10",
AMTOGD.859063,859063,POINT (16.38248698880463 48.234608407119495),Magistratsabteilung 37 - Baupolizei,"20., Dresdner Stra?e 73-75",
AMTOGD.859064,859064,POINT (16.35792817585317 48.20579682153583),Magistratsabteilung 49 - Forstamt und Landwirtschaftsbetrieb der Stadt Wien,"1., Volksgartenstra?e 3",
AMTOGD.859065,859065,POINT (16.397492745227215 48.257839700772244),Magistratisches Bezirksamt f?r den 21. Bezirk,"21., Am Spitz 1",
AMTOGD.859066,859066,POINT (16.329056954096195 48.18309719466974),Bezirksvorstehung des 12. Bezirks,"12., Sch?nbrunner Stra?e 259",
AMTOGD.859067,859067,POINT (16.41343292376274 48.175478745665835),Bezirksvorstehung des 11. Bezirks,"11., Enkplatz 2",
AMTOGD.859068,859068,POINT (16.357985285186157 48.21130657017448),Magistratsabteilung 9 - Wienbibliothek im Rathaus,"1., Felderstra?e 1",
AMTOGD.859069,859069,POINT (16.342426683486458 48.226736404634),Bezirksvorstehung des 18. Bezirks,"18., Martinstra?e 100",
AMTOGD.859070,859070,POINT (16.354024986281637 48.20678638807496),"Magistratsabteilung 64 - Rechtl. Bau-, Energie-, Eisenbahn- und Luftfahrtangelegenheiten","8., Lerchenfelder Stra?e 4",
AMTOGD.859071,859071,POINT (16.350049704446555 48.19112808560601),Magistratsabteilung 31 - Wasserwerke,"6., Grabnergasse 4-6",
